41584, 0
41729, -1
41730, 0
42383, -1
42387, 0
42389, 0
42390, 1
42391, -1
42397, 0
42402, 0
42403, 0
42408, 0
42409, 0
42411, 0
42412, 0
42416, 0
42423, 1
42424, 0
42798, 0
42874, 0
42886, 0
42892, -1
42900, 0
42906, 1
42913, 0
42920, 0
42927, 1
42929, 0
42930, 0
42935, 0
42944, 1
42948, 0
42956, 0
42963, 1
42964, 1
42965, 0
42970, 0
42979, 0
42987, 0
42989, 0
42990, 0
42992, 0
42993, 0
42996, 0
42997, 0
42998, 0
42999, -1
43000, 0
43003, 0
43005, 0
43006, 0
43007, -1
43010, 0
43011, 0
43012, -2
43013, -1
43014, 0
43017, -1
43018, -1
43019, 0
43020, -1
43021, -1
43022,-2
