42848.00,159473.77,245039.00,1261.31,48203962.26,0.00,1257.99
42849.00,218198.47,222671.00,1257.99,39096538.33,0.00,1262.90
42850.00,306659.18,325387.00,1262.90,45876269.77,0.00,1279.41
42851.00,286080.06,334471.00,1279.41,64754541.50,0.00,1309.11
42852.00,299790.69,297884.00,1309.11,62204334.61,1.00,1345.35
42853.00,317159.22,305271.00,1345.35,61518505.25,0.00,1331.29
42854.00,268392.27,341319.00,1331.29,45569576.92,0.00,1334.98
42855.00,199722.13,281489.00,1334.98,43853713.71,0.00,1353.00
42856.00,312196.23,294786.00,1353.00,102136864.50,0.00,1417.17
42857.00,316525.21,333161.00,1417.17,86306466.16,0.00,1452.08
42858.00,317492.17,295149.00,1452.08,98768076.02,0.00,1507.58
42859.00,397991.61,354737.00,1507.58,178681011.60,0.00,1508.29
42860.00,373364.41,267193.00,1508.29,136654833.50,0.00,1533.34
42861.00,303559.12,363022.00,1533.34,68907283.75,0.00,1560.41
42862.00,276993.76,316011.00,1560.41,62492472.19,1.00,1535.87
42863.00,438151.01,365096.00,1535.87,139627613.30,1.00,1640.62
42864.00,442341.03,332879.00,1640.62,167512042.50,0.00,1721.28
42865.00,416118.52,311391.00,1721.28,131817395.90,0.00,1762.89
42866.00,364410.76,294743.00,1762.89,151505814.80,1.00,1820.99
42867.00,343919.54,317698.00,1820.99,139214052.70,0.00,1720.48
42868.00,250751.32,329266.00,1720.48,111469417.30,0.00,1771.92
42869.00,246099.91,369098.00,1771.92,61547076.23,1.00,1776.32
42870.00,401257.58,329229.00,1776.32,102816017.70,0.00,1723.13
42871.00,332635.73,233977.00,1723.13,108385267.40,0.00,1739.03
42872.00,518560.41,317527.00,1739.03,132248945.80,0.00,1807.49
42873.00,356585.58,288904.00,1807.49,110766531.50,0.00,1899.08
42874.00,437720.10,319502.00,1899.08,154137281.00,0.00,1961.52
42875.00,331908.80,352805.00,1961.52,136549462.20,1.00,2052.91
42876.00,266554.69,326057.00,2052.91,128454137.20,0.00,2046.53
42877.00,425013.93,327868.00,2046.53,295717901.90,0.00,2090.66
42878.00,448744.85,367710.00,2090.66,203482045.60,0.00,2287.71
42879.00,450541.38,338642.00,2287.71,248904779.10,0.00,2379.19
42880.00,506576.48,350114.00,2379.19,401279047.70,0.00,2387.21
42881.00,427853.66,333340.00,2387.21,324426983.60,0.00,2211.98
42882.00,320932.56,331914.00,2211.98,321289966.60,0.00,2014.05
42883.00,236729.17,308143.00,2014.05,185870201.10,0.00,2192.98
42884.00,252272.10,321638.00,2192.98,133826839.10,0.00,2275.93
42885.00,399669.58,347961.00,2275.93,148703191.10,0.00,2239.21
42886.00,373509.99,321634.00,2239.21,204425185.10,0.00,2285.93
42887.00,394084.68,319709.00,2285.93,198826825.00,-1.00,2399.24
42888.00,296956.94,271539.00,2399.24,122456001.80,0.00,2446.14
42889.00,324123.98,305320.00,2446.14,129006639.10,0.00,2525.77
42890.00,249413.36,266044.00,2525.77,120095754.40,0.00,2516.17
42891.00,295172.71,289930.00,2516.17,168803116.30,0.00,2698.31
42892.00,307402.77,297416.00,2698.31,371264851.90,0.00,2883.31
42893.00,331375.38,339720.00,2883.31,205713695.00,0.00,2664.92
42894.00,290137.13,307377.00,2664.92,174094195.60,0.00,2793.00
42895.00,240141.38,282184.00,2793.00,108367646.90,0.00,2827.49
42896.00,235847.90,254993.00,2827.49,154123952.10,0.00,2845.37
42897.00,221919.01,222892.00,2845.37,181774994.40,0.00,2961.83
42898.00,316030.56,269098.00,2961.83,393739719.90,0.00,2657.68
42899.00,308894.41,291776.00,2657.68,204283558.80,0.00,2748.19
42900.00,307843.12,287644.00,2748.19,268520562.40,0.00,2447.04
42901.00,299371.01,293141.00,2447.04,435834778.60,0.00,2442.48
42902.00,253325.07,269937.00,2442.48,195907758.50,0.00,2464.96
42903.00,201087.12,236554.00,2464.96,158849628.80,-2.00,2665.93
42904.00,208500.30,209359.00,2665.93,146939437.20,-3.00,2507.39
42905.00,233129.07,269774.00,2507.39,146249310.00,0.00,2617.21
42906.00,258544.75,269438.00,2617.21,204123503.00,0.00,2754.98
42907.00,308347.89,280203.00,2754.98,208033200.80,0.00,2671.04
42908.00,253845.77,269685.00,2671.04,143429984.70,0.00,2727.29
42909.00,204918.93,259938.00,2727.29,91452068.36,-1.00,2710.41
42910.00,160292.30,227127.00,2710.41,146373123.50,-4.00,2589.16
42911.00,202855.97,180719.00,2589.16,135111001.60,0.00,2512.37
42912.00,285169.59,261906.00,2512.37,237329706.40,0.00,2436.45
